date,search_stock_price,search_trade_linege_account,search_linege_bm,stock_price(/10000),stock_price
2021-03-21,4,18,0,93.2,932000
2021-03-28,23,0,29,83.4,834000
2021-04-04,12,37,0,88.5,885000
2021-04-11,10,19,0,90.6,906000
2021-04-18,9,37,0,89.4,894000
2021-04-25,8,18,0,86.1,861000
2021-05-02,3,19,0,82,820000
2021-05-09,6,0,0,85,850000
2021-05-16,5,0,0,82.3,823000
2021-05-23,5,37,0,85.6,856000
2021-05-30,4,38,0,85.4,854000
2021-06-06,5,19,0,85.8,858000
2021-06-13,5,0,0,84.8,848000
2021-06-20,5,19,60,82.5,825000
2021-06-27,6,0,30,82,820000
2021-07-04,3,0,29,83.4,834000
2021-07-11,10,58,0,77.8,778000
2021-07-18,6,21,30,80.9,809000
2021-07-25,3,39,0,80.9,809000
2021-08-01,6,19,0,81.2,812000
2021-08-08,5,19,0,79,790000
2021-08-15,9,39,0,85.3,853000
2021-08-22,63,61,100,70.9,709000
2021-08-29,100,20,29,63.3,633000
2021-09-05,63,21,92,61.1,611000
2021-09-12,76,20,0,58.9,589000
2021-09-19,43,41,70,57.1,571000
2021-09-26,55,20,0,57.1,571000
2021-10-03,56,0,0,56,560000
2021-10-10,31,0,0,58.2,582000
2021-10-17,26,0,0,61.9,619000
2021-10-24,24,0,32,62.1,621000
2021-10-31,79,21,63,59.5,595000
2021-11-07,68,81,0,78.6,786000
2021-11-14,53,40,31,76,760000
2021-11-21,28,100,0,70,700000
2021-11-28,21,39,0,69,690000
2021-12-05,21,81,0,73.7,737000
2021-12-12,14,21,0,68,680000
2021-12-19,13,67,32,65.6,656000
2021-12-26,9,22,0,64.3,643000
2022-01-02,18,21,0,60.6,606000
2022-01-09,15,0,31,58.3,583000
2022-01-16,16,41,31,56.5,565000
2022-01-23,22,0,0,56.7,567000
2022-01-30,14,43,0,53.6,536000
2022-02-06,19,43,31,54,540000
2022-02-13,23,43,0,51,510000
2022-02-20,25,21,0,49.25,492500
2022-02-27,21,42,0,46.35,463500
2022-03-06,16,21,0,45.95,459500
2022-03-13,19,0,0,45.2,452000